Timestamp,Open,High,Low,Close,Volume
1672531200000,15655.00,15710.00,15630.00,15681.00,1988599.40000000
1672617600000,15682.00,15683.00,15595.00,15646.00,7026467.60000000
1672704000000,15647.00,15659.00,15601.00,15650.00,4622433.70000000
1672790400000,15649.00,15666.00,15590.00,15595.00,5124126.70000000
1672876800000,15599.00,15648.00,15581.00,15638.00,4846296.30000000
1672963200000,15637.00,15690.00,15625.00,15649.00,5613992.60000000
1673049600000,15649.00,15684.00,15641.00,15671.00,2911327.30000000
1673136000000,15672.00,15695.00,15645.00,15657.00,2019807.00000000
1673222400000,15657.00,15661.00,15600.00,15620.00,5018956.50000000
1673308800000,15623.00,15638.00,15559.00,15579.00,5076142.70000000
1673395200000,15580.00,15595.00,15439.00,15476.00,7054842.50000000
1673481600000,15482.00,15486.00,15200.00,15260.00,10206214.20000000
1673568000000,15259.00,15280.00,15134.00,15202.00,7045913.80000000
1673654400000,15202.00,15235.00,15127.00,15180.00,7938770.90000000
1673740800000,15181.00,15217.00,15136.00,15167.00,5368203.60000000
1673827200000,15167.00,15178.00,15003.00,15080.00,8220003.20000000
1673913600000,15079.00,15149.00,15040.00,15101.00,9062823.10000000
1674000000000,15101.00,15140.00,15005.00,15089.00,7146843.80000000
1674086400000,15089.00,15111.00,15033.00,15100.00,6673230.10000000
1674172800000,15100.00,15121.00,15000.00,15045.00,5051312.10000000
1674259200000,15055.00,15120.00,15023.00,15083.00,3806114.40000000
1674345600000,15081.00,15159.00,15071.00,15127.00,2442191.00000000
1674432000000,15127.00,15150.00,15075.00,15103.00,4395312.60000000
1674518400000,15106.00,15123.00,14960.00,15083.00,8626910.30000000
1674604800000,15083.00,15100.00,14922.00,15024.00,8004821.50000000
1674691200000,15027.00,15081.00,14980.00,15010.00,5526901.40000000
1674777600000,15010.00,15060.00,15007.00,15043.00,4816201.00000000
1674864000000,15048.00,15075.00,15035.00,15069.00,3363333.00000000
1674950400000,15069.00,15079.00,15008.00,15019.00,4353243.30000000
1675036800000,15019.00,15071.00,14982.00,15067.00,7335850.10000000
1675123200000,15062.00,15106.00,15015.00,15055.00,7408550.20000000
1675209600000,15055.00,15095.00,14966.00,14981.00,8082127.80000000
1675296000000,14982.00,14996.00,14861.00,14935.00,7847578.50000000
1675382400000,14939.00,14987.00,14930.00,14946.00,5709917.90000000
1675468800000,14946.00,14989.00,14942.00,14980.00,4314203.40000000
1675555200000,14976.00,15130.00,14968.00,15081.00,3997738.00000000
1675641600000,15081.00,15118.00,15041.00,15110.00,8125358.80000000
1675728000000,15111.00,15191.00,15101.00,15167.00,6044546.40000000
1675814400000,15161.00,15169.00,15111.00,15129.00,5889828.50000000
1675900800000,15129.00,15215.00,15120.00,15210.00,5073125.90000000
1675987200000,15213.00,15238.00,15167.00,15217.00,4620063.90000000
1676073600000,15217.00,15264.00,15207.00,15263.00,3519566.00000000
1676160000000,15263.00,15273.00,15223.00,15266.00,2660736.50000000
1676246400000,15263.00,15280.00,15236.00,15245.00,5973559.50000000
1676332800000,15244.00,15256.00,15103.00,15187.00,5097127.90000000
1676419200000,15190.00,15248.00,15165.00,15178.00,6735824.60000000
1676505600000,15167.00,15195.00,15108.00,15130.00,8096839.40000000
1676592000000,15130.00,15244.00,15119.00,15216.00,6766577.90000000
1676678400000,15216.00,15229.00,15191.00,15223.00,3166779.00000000
1676764800000,15219.00,15243.00,15136.00,15213.00,3971626.60000000
1676851200000,15213.00,15220.00,15150.00,15159.00,7058024.90000000
1676937600000,15159.00,15248.00,15151.00,15240.00,6815753.00000000
1677024000000,15231.00,15270.00,15222.00,15251.00,6015850.80000000
1677110400000,15251.00,15260.00,15200.00,15235.00,4516961.70000000
1677196800000,15235.00,15288.00,15212.00,15281.00,6128567.30000000
1677283200000,15284.00,15350.00,15239.00,15303.00,4241642.10000000
1677369600000,15303.00,15330.00,15284.00,15304.00,2634953.60000000
1677456000000,15305.00,15310.00,15241.00,15262.00,5955712.80000000
1677542400000,15272.00,15302.00,15230.00,15283.00,6710032.40000000
1677628800000,15282.00,15300.00,15235.00,15262.00,5362717.70000000
1677715200000,15262.00,15301.00,15235.00,15293.00,6253772.00000000
1677801600000,15293.00,15330.00,15281.00,15317.00,6099239.20000000
1677888000000,15317.00,15340.00,15268.00,15334.00,4926451.10000000
1677974400000,15334.00,15365.00,15294.00,15365.00,2378618.50000000
1678060800000,15365.00,15365.00,15300.00,15339.00,5174920.80000000
1678147200000,15341.00,15445.00,15331.00,15404.00,6647065.10000000
1678233600000,15405.00,15460.00,15396.00,15435.00,6918929.20000000
1678320000000,15430.00,15495.00,15400.00,15494.00,10460019.60000000
1678406400000,15494.00,15585.00,15470.00,15522.00,7982902.60000000
1678492800000,15522.00,15638.00,15507.00,15544.00,6879928.80000000
1678579200000,15548.00,15596.00,15495.00,15502.00,5668787.50000000
1678665600000,15501.00,15565.00,15300.00,15334.00,19005393.40000000
1678752000000,15332.00,15440.00,15310.00,15361.00,9047814.40000000
1678838400000,15363.00,15477.00,15322.00,15445.00,6808835.40000000
1678924800000,15435.00,15480.00,15331.00,15420.00,7008114.90000000
1679011200000,15415.00,15435.00,15330.00,15374.00,4693536.00000000
1679097600000,15374.00,15415.00,15327.00,15389.00,3625341.60000000
1679184000000,15389.00,15435.00,15370.00,15418.00,3167935.60000000
1679270400000,15415.00,15448.00,15357.00,15388.00,7037469.30000000
1679356800000,15388.00,15400.00,15327.00,15361.00,4981814.40000000
